userName,major,researchExp,industryExp,specialization,toeflScore,program,department,internExp,greV,greQ,journalPubs,greA,termAndYear,confPubs,ugCollege,univName,admit,topperCgpaScale,CgpaScale
6915,77,0,0,283,-2.04798943965009,1,466,0,0.06002189734023825,1.199102699830594,0.0,2.5,15,0.0,158,11,1,0.78,0.7
6916,56,0,0,903,-0.31844373235740475,1,320,0,0.8418040253193609,1.075187816873504,0.0,3.0,17,0.0,1507,20,1,0.8,0.74
6918,48,0,0,2001,0.07562997310168812,1,207,0,-0.7769448514374109,-0.7897311716307008,0.0,3.0,17,0.0,1279,14,1,0.98,0.8099999999999999
6921,59,0,0,2528,0.053736989465071855,1,207,0,0.5658809213267295,1.199102699830594,0.0,3.0,15,0.0,1660,21,1,0.945,0.922
6922,115,0,0,2001,0.053736989465071855,1,590,0,1.1637143133107646,1.199102699830594,0.0,4.0,17,0.0,941,40,1,0.92,0.652
6923,2,0,0,100,-2.2012403251064043,2,12,0,1.0717399453132208,1.075187816873504,0.0,4.0,14,0.0,899,16,1,0.82,0.76
6924,165,6,0,490,0.1632019076481532,1,1140,6,-0.7493525410381477,-0.7711439391871374,0.0,3.5,23,0.0,1357,35,1,0.8699999999999999,0.8300000000000001
6925,2,0,0,2001,0.07562997310168812,1,1113,0,-0.7723461330375336,-0.7742418112610646,0.0,3.0,19,0.0,46,32,1,0.97,0.94
6927,56,0,0,2001,0.11941594037492065,1,1442,0,-0.7815435698372881,-0.7866332995567736,0.0,3.5,0,0.0,54,42,1,0.0,0.7969999999999999
6928,56,0,24,677,0.11941594037492065,1,736,0,-0.7171615122390074,-0.7835354274828463,0.0,4.0,23,0.0,1115,2,1,0.99,0.882
6930,137,0,0,2001,0.031844005828455584,1,949,0,0.9337783933169048,1.1371452583520492,0.0,4.0,19,0.0,1679,25,1,0.0,0.6712
6931,169,0,0,2001,-2.2012403251064043,2,156,0,-0.7723461330375336,-0.7990247878524827,0.0,3.0,23,0.0,1026,34,1,0.93,0.7659999999999999
6932,56,0,0,2001,0.009951022191839312,1,276,0,0.8418040253193609,0.8583367716985965,0.0,3.5,15,0.0,871,14,1,0.8,0.66
6933,115,0,0,2173,0.0975229567383044,1,246,0,1.1637143133107646,1.1061665376127765,0.0,3.5,11,0.0,229,51,1,0.78,0.68
6934,59,0,0,2117,0.2507738421946183,1,163,0,-0.7447538226382705,-0.7680460671132101,0.0,4.0,43,0.0,638,42,1,0.88,0.7114
6935,56,0,0,2001,25.16498922066393,1,467,0,0.887791209318133,1.0132303753949592,0.0,3.5,41,0.0,638,35,1,0.82,0.81
6936,65,0,30,959,0.031844005828455584,1,477,0,-0.7539512594380249,-0.7587524508914284,0.0,3.5,44,0.0,638,44,1,0.88,0.8140000000000001
6937,56,0,0,57,0.009951022191839312,1,199,0,-0.7585499778379021,-0.7804375554089191,0.0,3.0,19,0.0,1562,14,1,0.8,0.71
6938,48,0,0,1011,0.3383457767410833,2,291,0,-0.7309576674386391,-0.7928290437046281,0.0,4.5,19,0.0,963,0,1,0.0,0.6900000000000001
6939,89,0,39,2085,-0.1214068796278583,1,820,0,-0.7677474146376565,-0.7866332995567736,0.0,2.5,23,0.0,871,6,1,0.78,0.635
6940,222,0,0,3075,0.2507738421946183,1,234,0,1.7615477052947996,1.199102699830594,0.0,4.0,17,0.0,166,0,1,0.91,0.75
